2014,2015,2016,2017
166905,173927,164782,167885
44058,44039,42366,40619
17260,17874,18310,17586
10342,10553,11563,10760
7132,7417,8862,8266
10235,9908,11884,11167
9842,9064,17017,16053
59,38,76,66
15471,15299,14130,13693
42994,43749,40484,39903
23764,24465,23630,23943
14054,13950,13486,13938
8871,8990,8945,9161
11948,11626,11262,10901
10789,10486,11294,11456
44,12,20,12
10445,11304,11322,12618
52439,54862,53143,53664
34627,37591,37275,38026
20732,21437,21179,21346
13731,14269,14368,14551
19160,19152,18884,18429
19555,18769,18616,19123
4,11,14,15
162292,160440,169021,173825
388496,383357,378439,366080
127201,129274,131863,132603
66418,65530,66491,65930
41717,41843,42329,43271
58851,56375,54384,53035
73420,72013,67637,65354
99,107,84,61
5712,5592,4754,4724
6378,5195,4324,4507
6240,5564,4416,4678
6015,5582,4568,4694
5082,5084,4025,4490
8645,8437,6860,8162
22635,23170,16645,18660
74,65,49,75
33078,45009,60458,69502
1666,2035,1638,1765
161,252,266,316
46,71,53,46
15,29,15,16
27,24,21,16
29,34,18,7
22,22,10,8
