2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
54563,50325,49812,42744,38011,40151,33758,36872,31116,32802,32126
35669,36171,37371,31567,28548,30844,30150,29536,29106,30507,22879
17928,18052,16095,14679,12301,13060,13412,12939,13907,14752,11105
11918,11814,10503,9759,8389,8664,8610,7999,8960,9696,7743
10337,9898,8078,7459,6330,6232,6337,5702,6479,7292,6072
15698,15202,13263,12224,10380,10003,9841,8546,8725,10466,8203
19488,23888,17173,16667,14450,13777,13903,8272,9297,16182,13922
452,205,125,193,95,67,55,38,68,69,2600
14931,15433,14472,12835,11405,11272,10659,11456,10864,10310,10610
39491,41092,38037,36402,32555,33422,31802,34184,31057,31200,31357
26251,27735,24229,23903,19770,20132,19634,21022,19906,21011,19864
16123,16983,14542,14236,12235,12013,12035,12308,11792,12935,12112
12211,12753,10204,9768,7962,7550,7530,7865,7694,8673,7902
17247,18360,14611,14325,11753,10553,10073,10405,9868,10902,9648
16031,16595,12880,12754,10569,9989,10366,9955,9440,11555,9918
117,87,24,45,24,24,23,23,20,9,1225
13908,14749,14098,11569,9989,8719,7698,7111,7775,7516,8071
60552,66011,63974,60883,55483,52780,49237,46185,46483,45800,46325
40964,44392,42598,39044,33442,32044,30666,30404,30877,30692,31562
26184,27356,26128,23576,20903,19501,18810,18279,18092,17601,18399
21838,21820,20020,16804,14409,13200,12352,12560,12456,12235,12584
35018,34990,31442,26194,23145,20513,18792,18400,17491,16684,16512
34715,33878,29227,24919,21452,19006,19550,18694,18631,17779,17877
53,73,59,40,40,22,14,24,9,8,5523
220624,251904,260602,264467,251754,242537,247979,242765,249650,246296,252938
334136,367944,390746,420160,426220,427692,436583,430914,427693,413659,397738
124132,137033,144649,150270,144561,140182,143228,143999,148494,147084,144887
71052,77225,79898,84134,80308,75866,75518,74251,74984,73327,73024
57914,59486,57971,58173,52727,48229,47777,47366,47925,47272,47755
91927,92959,91545,93107,82339,73401,68018,64867,62632,59073,58107
108906,106646,101840,99936,90590,83986,80611,78302,77718,71232,70412
293,207,233,264,226,153,124,101,108,81,15399
15616,16474,7936,7307,6735,5421,5514,5136,5986,4895,2529
15369,15457,8031,7786,6894,6126,5310,5501,5284,4076,3505
10913,11123,7865,7374,6304,5923,5423,5779,5699,4376,3436
8366,8746,6951,6572,6058,5305,4938,5733,5655,4494,3486
7373,7620,6300,6201,5468,4691,4353,4979,5020,4036,3405
11511,12828,10625,10746,9880,8211,7547,8483,8765,7037,5989
34793,38213,29647,23787,22221,19291,17452,23169,20879,17297,16800
6852,9564,7037,113,62,73,64,68,62,51,9187
71793,70405,52352,44652,37937,35391,35832,43910,53588,67723,69958
723,1409,2095,2700,2145,1729,1778,2196,1947,1316,1142
0,0,2,89,112,76,159,293,267,193,70
0,0,0,19,50,22,52,72,67,59,36
0,0,2,14,25,14,21,30,20,16,20
0,0,0,14,44,17,37,40,33,27,21
0,0,0,9,39,18,36,38,29,22,12
27,80,53,23,21,28,42,29,22,22,245
